Date,Open,High,Low,Close,Gain,Volume,Adj Close
2015-03-13,48858.0,48858.0,47905.0,48596.0,Loss,0,48596.0
2015-03-12,48908.0,49633.0,48684.0,48880.0,Loss,0,48880.0
2015-03-11,48309.0,48937.0,48309.0,48906.0,Gain,0,48906.0
2015-03-10,49177.0,49177.0,48293.0,48293.0,Loss,0,48293.0
2015-03-09,49978.0,49978.0,48952.0,49181.0,Loss,0,49181.0
2015-03-06,50355.0,50401.0,49779.0,49981.0,Loss,0,49981.0
2015-03-05,50472.0,50734.0,50114.0,50365.0,Loss,0,50365.0
2015-03-04,51303.0,51303.0,50399.0,50468.0,Loss,0,50468.0
2015-03-03,51021.0,51432.0,50995.0,51304.0,Gain,0,51304.0
2015-03-02,51580.0,51580.0,50775.0,51021.0,Loss,0,51021.0
2015-02-27,51760.0,52457.0,51474.0,51583.0,Loss,0,51583.0
2015-02-26,51812.0,51922.0,51181.0,51761.0,Loss,0,51761.0
2015-02-25,51863.0,51863.0,51051.0,51811.0,Loss,0,51811.0
2015-02-24,51288.0,51956.0,51049.0,51874.0,Gain,0,51874.0
2015-02-23,51238.0,51690.0,50861.0,51281.0,Gain,0,51281.0
2015-02-20,51301.0,51450.0,50711.0,51238.0,Loss,0,51238.0
2015-02-19,51281.0,51638.0,50870.0,51294.0,Gain,0,51294.0
2015-02-18,50639.0,51868.0,50639.0,51280.0,Gain,0,51280.0
2015-02-17,49546.0,50726.0,49476.0,50636.0,Gain,0,50636.0
2015-02-13,49546.0,50726.0,49476.0,50636.0,Gain,0,50636.0
2015-02-12,48240.0,49690.0,48240.0,49533.0,Gain,0,49533.0
2015-02-11,48508.0,48762.0,47841.0,48240.0,Loss,0,48240.0
2015-02-10,49359.0,49799.0,48510.0,48510.0,Loss,0,48510.0
2015-02-09,48792.0,49522.0,48416.0,49383.0,Gain,0,49383.0
2015-02-06,49231.0,49231.0,48209.0,48792.0,Loss,0,48792.0
2015-02-05,49299.0,49816.0,49020.0,49234.0,Loss,0,49234.0
2015-02-04,48965.0,49718.0,48214.0,49301.0,Gain,0,49301.0
2015-02-03,47664.0,48993.0,47664.0,48964.0,Gain,0,48964.0
2015-02-02,46933.0,47684.0,46760.0,47651.0,Gain,0,47651.0
2015-01-30,47759.0,47759.0,46484.0,46908.0,Loss,0,46908.0
2015-01-29,47696.0,47894.0,47007.0,47762.0,Gain,0,47762.0
2015-01-28,48589.0,48589.0,47550.0,47695.0,Loss,0,47695.0
2015-01-27,48577.0,48864.0,47352.0,48591.0,Gain,0,48591.0
2015-01-26,48712.0,48712.0,48004.0,48577.0,Loss,0,48577.0
2015-01-23,49432.0,49523.0,48496.0,48775.0,Loss,0,48775.0
2015-01-22,49227.0,50281.0,49227.0,49443.0,Gain,0,49443.0
2015-01-21,47888.0,49329.0,47888.0,49224.0,Gain,0,49224.0
2015-01-20,47759.0,48687.0,47619.0,47877.0,Gain,0,47877.0
2015-01-19,49009.0,49009.0,47503.0,47758.0,Loss,0,47758.0
2015-01-16,48028.0,49264.0,48028.0,49017.0,Gain,0,49017.0
2015-01-15,47648.0,48853.0,47648.0,48026.0,Gain,0,48026.0
2015-01-14,48038.0,48281.0,47372.0,47646.0,Loss,0,47646.0
2015-01-13,48144.0,48939.0,48042.0,48042.0,Loss,0,48042.0
2015-01-12,48840.0,48840.0,47956.0,48140.0,Loss,0,48140.0
2015-01-09,49955.0,49955.0,48501.0,48840.0,Loss,0,48840.0
2015-01-08,49463.0,50261.0,49017.0,49943.0,Gain,0,49943.0
2015-01-07,48006.0,49882.0,48006.0,49463.0,Gain,0,49463.0
2015-01-06,47517.0,48061.0,47338.0,48001.0,Gain,0,48001.0
2015-01-05,48512.0,48512.0,47264.0,47517.0,Loss,0,47517.0
2015-01-02,50005.0,50005.0,48345.0,48512.0,Loss,0,48512.0
2014-12-31,50601.0,50841.0,49993.0,50007.0,Loss,0,50007.0
2014-12-30,50601.0,50841.0,49993.0,50007.0,Loss,0,50007.0
2014-12-29,50145.0,50903.0,50008.0,50594.0,Gain,0,50594.0
2014-12-26,50891.0,50973.0,49914.0,50145.0,Loss,0,50145.0
2014-12-23,50121.0,50890.0,49815.0,50890.0,Gain,0,50890.0
2014-12-22,49651.0,50121.0,49105.0,50121.0,Gain,0,50121.0
2014-12-19,48492.0,49658.0,48435.0,49651.0,Gain,0,49651.0
2014-12-18,48714.0,49565.0,48296.0,48496.0,Loss,4240500,48496.0
2014-12-17,47008.0,49258.0,47008.0,48714.0,Gain,6209500,48714.0
2014-12-16,47016.0,47595.0,45853.0,47008.0,Loss,5339900,47008.0
2014-12-15,48002.0,48401.0,46410.0,47019.0,Loss,4685700,47019.0
2014-12-12,49861.0,49861.0,47973.0,48002.0,Loss,3756700,48002.0
2014-12-11,49548.0,49946.0,48808.0,49861.0,Gain,3828900,49861.0
2014-12-10,50192.0,50192.0,49297.0,49548.0,Loss,3168900,49548.0
2014-12-09,50250.0,50260.0,49395.0,50193.0,Loss,3852900,50193.0
2014-12-08,51992.0,51992.0,50015.0,50274.0,Loss,3302600,50274.0
2014-12-05,51427.0,52023.0,51163.0,51992.0,Gain,2530100,51992.0
2014-12-04,52320.0,52539.0,51074.0,51427.0,Loss,2913300,51427.0
2014-12-03,51610.0,52470.0,51610.0,52320.0,Gain,2724600,52320.0
2014-12-02,52278.0,52640.0,51471.0,51612.0,Loss,3296400,51612.0
2014-12-01,54719.0,54719.0,52157.0,52277.0,Loss,4312800,52277.0
2014-11-28,54731.0,55436.0,54664.0,54664.0,Loss,2637700,54664.0
2014-11-27,55100.0,56065.0,54593.0,54721.0,Loss,2292700,54721.0
2014-11-26,55561.0,56100.0,54977.0,55098.0,Loss,3033300,55098.0
2014-11-25,55410.0,56387.0,55204.0,55561.0,Gain,5033200,55561.0
2014-11-24,56086.0,57359.0,55292.0,55407.0,Loss,4588700,55407.0
2014-11-21,53403.0,56214.0,53403.0,56084.0,Gain,6026200,56084.0
2014-11-20,53403.0,53403.0,53403.0,53403.0,Gain,0,53403.0
2014-11-19,52061.0,53402.0,52031.0,53402.0,Gain,4251300,53402.0
2014-11-18,51257.0,52122.0,51067.0,52062.0,Gain,3639700,52062.0
2014-11-17,51772.0,52223.0,51047.0,51257.0,Loss,2824600,51257.0
2014-11-14,51834.0,51900.0,50886.0,51772.0,Loss,3789300,51772.0
2014-11-13,52979.0,53323.0,51846.0,51846.0,Loss,3032900,51846.0
2014-11-12,52473.0,53435.0,52187.0,52979.0,Gain,3198600,52979.0
2014-11-11,52718.0,52718.0,52003.0,52474.0,Loss,2678500,52474.0
2014-11-10,53223.0,53830.0,52716.0,52725.0,Loss,2973700,52725.0
2014-11-07,52637.0,53483.0,52197.0,53223.0,Gain,3592600,53223.0
2014-11-06,53697.0,53697.0,52418.0,52637.0,Loss,3692500,52637.0
2014-11-05,54384.0,54384.0,53589.0,53698.0,Loss,2901600,53698.0
2014-11-04,53947.0,54384.0,53432.0,54384.0,Gain,3529800,54384.0
2014-11-03,54629.0,54629.0,53054.0,53947.0,Loss,3665200,53947.0
2014-10-31,52338.0,54629.0,52335.0,54629.0,Gain,5348200,54629.0
2014-10-30,51049.0,52574.0,51049.0,52337.0,Gain,4299700,52337.0
2014-10-29,52330.0,52330.0,51049.0,51049.0,Loss,4915300,51049.0
2014-10-28,50504.0,52374.0,50503.0,52330.0,Gain,5761300,52330.0
2014-10-27,51937.0,51937.0,48722.0,50504.0,Loss,7999300,50504.0
2014-10-24,50687.0,53146.0,50596.0,51941.0,Gain,5852100,51941.0
2014-10-23,52409.0,52409.0,50654.0,50713.0,Loss,6346100,50713.0
2014-10-22,52427.0,53229.0,52064.0,52411.0,Loss,3755400,52411.0
2014-10-21,54300.0,54300.0,51922.0,52432.0,Loss,6578000,52432.0
2014-10-20,55720.0,55720.0,54300.0,54303.0,Loss,3868300,54303.0
2014-10-17,54298.0,55949.0,54298.0,55724.0,Gain,4406300,55724.0
2014-10-16,56124.0,56124.0,54132.0,54298.0,Loss,5427800,54298.0
2014-10-15,58012.0,58012.0,54919.0,56135.0,Loss,5671200,56135.0
2014-10-14,57946.0,58856.0,57258.0,58015.0,Gain,3904700,58015.0
2014-10-13,55312.0,58747.0,55312.0,57956.0,Gain,4544400,57956.0
2014-10-10,57266.0,57266.0,55311.0,55311.0,Loss,3635700,55311.0
2014-10-09,57079.0,58246.0,57077.0,57268.0,Gain,4503200,57268.0
2014-10-08,57440.0,58191.0,56199.0,57059.0,Loss,4807200,57059.0
2014-10-07,57124.0,58318.0,57124.0,57436.0,Gain,4874100,57436.0
2014-10-06,54542.0,58897.0,54542.0,57116.0,Gain,6714000,57116.0
2014-10-03,53519.0,54540.0,53368.0,54540.0,Gain,3708600,54540.0
2014-10-02,52859.0,54022.0,52481.0,53519.0,Gain,3986300,53519.0
2014-10-01,54115.0,54115.0,52647.0,52858.0,Loss,4918800,52858.0
2014-09-30,54626.0,54626.0,53536.0,54116.0,Loss,5222300,54116.0
2014-09-29,57211.0,57211.0,54124.0,54625.0,Loss,5186400,54625.0
2014-09-26,55965.0,57489.0,55946.0,57212.0,Gain,2982200,57212.0
2014-09-25,56822.0,56822.0,55876.0,55962.0,Loss,2845400,55962.0
2014-09-24,56539.0,57131.0,55934.0,56824.0,Gain,2848300,56824.0
2014-09-23,56818.0,57332.0,56086.0,56541.0,Loss,3317200,56541.0
2014-09-22,57788.0,57788.0,55974.0,56818.0,Loss,3814900,56818.0
2014-09-19,58356.0,58516.0,57514.0,57789.0,Loss,3464700,57789.0
2014-09-18,59108.0,59267.0,58118.0,58375.0,Loss,3848200,58375.0
2014-09-17,59115.0,60025.0,59096.0,59108.0,Loss,3525800,59108.0
2014-09-16,57949.0,60243.0,57946.0,59115.0,Gain,4876300,59115.0
2014-09-15,56930.0,57949.0,56852.0,57949.0,Gain,2902300,57949.0
2014-09-12,58336.0,58336.0,56666.0,56928.0,Loss,4620200,56928.0
2014-09-11,58202.0,58809.0,58112.0,58337.0,Gain,2893100,58337.0
2014-09-10,58675.0,58675.0,57450.0,58199.0,Loss,3805800,58199.0
2014-09-09,59158.0,59485.0,58306.0,58676.0,Loss,4461200,58676.0
2014-09-08,60708.0,61513.0,59191.0,59193.0,Loss,4386000,59193.0
2014-09-05,60800.0,61030.0,60244.0,60682.0,Loss,3808600,60682.0
2014-09-04,61836.0,61836.0,60739.0,60800.0,Loss,4010700,60800.0
2014-09-03,61900.0,62305.0,61199.0,61837.0,Loss,4164300,61837.0
2014-09-02,61142.0,62231.0,60931.0,61896.0,Gain,3995800,61896.0
2014-09-01,61295.0,62279.0,61141.0,61141.0,Loss,2769100,61141.0
2014-08-29,60291.0,61443.0,60273.0,61288.0,Gain,4942400,61288.0
2014-08-28,60945.0,60980.0,60189.0,60291.0,Loss,4462600,60291.0
2014-08-27,59822.0,61247.0,59822.0,60951.0,Gain,5389100,60951.0
2014-08-26,59735.0,60093.0,59522.0,59821.0,Gain,4014100,59821.0
2014-08-25,58408.0,59743.0,58408.0,59735.0,Gain,2875600,59735.0
2014-08-22,58992.0,58992.0,58164.0,58407.0,Loss,2327300,58407.0
2014-08-21,58878.0,59207.0,58558.0,58992.0,Gain,3322000,58992.0
2014-08-20,58450.0,59010.0,58320.0,58878.0,Gain,3300100,58878.0
2014-08-19,57561.0,58475.0,57371.0,58449.0,Gain,3485000,58449.0
2014-08-18,56968.0,57665.0,56968.0,57561.0,Gain,3268300,57561.0
2014-08-15,55783.0,56965.0,55783.0,56964.0,Gain,3437700,56964.0
2014-08-14,55558.0,55947.0,55437.0,55780.0,Gain,3045400,55780.0
2014-08-13,56454.0,56736.0,55239.0,55581.0,Loss,4810800,55581.0
2014-08-12,56613.0,56811.0,56312.0,56442.0,Loss,2145000,56442.0
2014-08-11,55578.0,56657.0,55578.0,56613.0,Gain,2672500,56613.0
2014-08-08,56187.0,56187.0,55319.0,55573.0,Loss,3017300,55573.0
2014-08-07,56487.0,56923.0,55986.0,56188.0,Loss,3049200,56188.0
2014-08-06,56202.0,56797.0,55696.0,56487.0,Gain,4006200,56487.0
2014-08-05,56621.0,56937.0,56064.0,56202.0,Loss,3752600,56202.0
2014-08-04,55906.0,56620.0,55586.0,56616.0,Gain,2195100,56616.0
2014-08-01,55827.0,56059.0,55267.0,55903.0,Gain,3229100,55903.0
2014-07-31,56878.0,56878.0,55502.0,55829.0,Loss,3488600,55829.0
2014-07-30,57119.0,57439.0,56706.0,56878.0,Loss,2446200,56878.0
2014-07-29,57697.0,58013.0,57083.0,57119.0,Loss,2702100,57119.0
2014-07-28,57823.0,58040.0,57415.0,57696.0,Loss,2366800,57696.0
2014-07-25,57978.0,58069.0,57648.0,57821.0,Loss,2422200,57821.0
2014-07-24,57420.0,58122.0,57357.0,57978.0,Gain,3040100,57978.0
